Device ID,Time,Temperature,Humidity,Temperature_ma,Humidity_ma
"""inTelli-Gee_prototype_v0.1_serial_1""",364.0,20.9,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",365.0,20.9,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",366.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",367.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",368.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",369.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",370.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",371.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",372.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",373.0,20.9,74.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",374.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",375.0,20.8,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",376.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",377.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",378.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",379.0,20.9,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",380.0,20.9,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",381.0,20.9,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",382.0,20.8,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",383.0,20.8,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",384.0,20.8,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",385.0,20.8,74.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",386.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",387.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",388.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",389.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",390.0,20.8,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",391.0,20.8,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",392.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",393.0,20.8,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",394.0,20.9,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",395.0,20.9,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",396.0,20.8,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",397.0,20.8,75.0,,
